run_dir,first_round,final_round,first_val_rmse,final_val_rmse,best_val_rmse,best_val_rmse_round,delta_val_rmse_first_to_final,val_rmse@0,val_rmse@5,val_rmse@10,val_rmse@15,val_rmse@20,val_rmse@25,val_rmse@30,final_val_mae,final_val_accuracy,final_train_loss,final_total_bytes,client_update.steps,client_update.lr
2026-05-25_14-11-09_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p1__seed_43,0,30,1.092220425605774,1.0069113969802856,1.0069113969802856,30,0.08530902862548828,1.092220425605774,1.049439787864685,1.0244903564453125,1.024237871170044,1.0157091617584229,1.007532835006714,1.0069113969802856,0.8100961446762085,0.3817811012268066,1.0921439957618713,366897000.0,1,0.1
2026-05-25_14-17-29_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p1__seed_44,0,30,1.092172622680664,1.0071125030517578,1.0071125030517578,30,0.08506011962890625,1.092172622680664,1.0505434274673462,1.0251500606536863,1.0242685079574585,1.0159776210784912,1.008054494857788,1.0071125030517578,0.8106428980827332,0.382053017616272,1.0621778082847595,366897000.0,1,0.1
2026-05-25_14-05-06_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p2__seed_42,0,30,1.0922261476516724,1.0050877332687378,1.004272222518921,25,0.08713841438293457,1.0922261476516724,1.0284435749053955,1.0094380378723145,1.0149469375610352,1.0117149353027344,1.004272222518921,1.0050877332687378,0.8029960989952087,0.3883072733879089,1.1205142843723297,366897000.0,1,0.2
2026-05-25_14-11-27_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p2__seed_43,0,30,1.092220425605774,1.004975438117981,1.0042036771774292,25,0.08724498748779297,1.092220425605774,1.028169870376587,1.010298490524292,1.015329360961914,1.0115058422088623,1.0042036771774292,1.004975438117981,0.8031402826309204,0.3872195780277252,1.0400043106079102,366897000.0,1,0.2
2026-05-25_14-17-47_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p2__seed_44,0,30,1.092172622680664,1.004897117614746,1.0044275522232056,25,0.08727550506591797,1.092172622680664,1.0294015407562256,1.010667085647583,1.0152795314788818,1.0115458965301514,1.0044275522232056,1.004897117614746,0.803638219833374,0.3883072733879089,1.0168903982639312,366897000.0,1,0.2
2026-05-25_14-05-23_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p01__seed_42,0,30,1.0922261476516724,1.0399550199508667,1.0399550199508667,30,0.052271127700805664,1.0922261476516724,1.0782039165496826,1.0601327419281006,1.063174605369568,1.0527451038360596,1.044843316078186,1.0399550199508667,0.8537077307701111,0.345479279756546,1.839201307296753,366897000.0,2,0.01
2026-05-25_14-11-43_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p01__seed_43,0,30,1.092220425605774,1.0397213697433472,1.0397213697433472,30,0.05249905586242676,1.092220425605774,1.0779333114624023,1.0605324506759644,1.0635666847229004,1.0525298118591309,1.044689416885376,1.0397213697433472,0.8535181879997253,0.3464309871196747,1.7965400505065918,366897000.0,2,0.01
2026-05-25_14-18-04_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p01__seed_44,0,30,1.092172622680664,1.0403268337249756,1.0403268337249756,30,0.05184578895568848,1.092172622680664,1.0784692764282229,1.0610321760177612,1.06393301486969,1.0528641939163208,1.045310616493225,1.0403268337249756,0.8541247248649597,0.3452073335647583,1.7256833219528198,366897000.0,2,0.01
2026-05-25_14-05-40_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p03__seed_42,0,30,1.0922261476516724,1.0131579637527466,1.0131579637527466,30,0.07906818389892578,1.0922261476516724,1.062990665435791,1.0380898714065552,1.0367082357406616,1.026025891304016,1.016387104988098,1.0131579637527466,0.8216840624809265,0.3619306683540344,1.2739433860778808,366897000.0,2,0.03
2026-05-25_14-12-01_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_2__client_update_lr_0p03__seed_43,0,30,1.092220425605774,1.0130362510681152,1.0130362510681152,30,0.07918417453765869,1.092220425605774,1.0627182722091677,1.0387969017028809,1.0374770164489746,1.0257474184036257,1.0162233114242554,1.0130362510681152,0.8216509819030762,0.3623385429382324,1.2135410571098328,366897000.0,2,0.03
